TagID;Date;Time;X;Y;Z;Activity;Depth;Temp. (?C);location-lat;location-lon;height-msl;ground-speed;satellites;hdop;signal-strength;Sensor Raw;Battery (V);Metadata
A2_S1;2025/05/21;21:13:21.000;-0.563;-0.250;-0.625;Active/Dry;0.00;29.5;;;;;;;;1004;4.19;
A2_S1;2025/05/21;21:13:21.040;-0.500;-0.188;-0.563;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:21.080;-0.750;-0.250;-0.813;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:21.120;-0.813;-0.250;-0.938;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:21.160;-0.813;-0.188;-0.750;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:21.200;-0.625;-0.125;-0.688;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:21.240;-0.625;-0.625;-0.563;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:21.280;-0.500;-0.563;-0.875;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:21.320;-0.375;-0.250;-1.000;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:21.360;-0.688;-0.750;-0.813;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:21.400;-0.625;-0.250;-0.688;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:21.440;-0.500;-0.375;-0.688;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:21.480;-0.500;-0.563;-0.750;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:21.520;-0.313;-0.938;-0.750;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:21.560;-0.375;-0.750;-0.563;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:21.600;-0.500;-0.625;-0.625;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:21.640;-0.500;-0.313;-0.688;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:21.680;-0.688;-0.563;-0.813;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:21.720;-0.625;-0.563;-0.875;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:21.760;-0.438;-0.438;-0.813;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:21.800;-0.313;-0.500;-0.938;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:21.840;-0.188;-0.563;-0.938;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:21.880;-0.125;-0.500;-0.750;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:21.920;-0.188;-0.375;-1.000;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:21.960;-0.313;-0.313;-0.750;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:22.000;-0.063;-0.750;-0.688;Active/Dry;0.00;29.5;;;;;;;;0996;;
A2_S1;2025/05/21;21:13:22.040;-0.250;-0.500;-1.188;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:22.080;-0.375;-0.375;-0.875;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:22.120;-0.438;-0.688;-0.875;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:22.160;-0.563;-0.438;-1.000;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:22.200;-0.375;-0.563;-0.938;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:22.240;-0.250;-0.563;-0.688;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:22.280;-0.313;-0.563;-0.813;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:22.320;-0.188;-0.563;-0.813;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:22.360;0.000;-0.688;-0.813;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:22.400;0.188;-0.813;-1.063;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:22.440;0.125;-0.625;-0.938;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:22.480;0.125;-0.813;-1.250;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:22.520;0.125;-0.875;-1.063;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:22.560;-0.125;-0.625;-0.875;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:22.600;0.188;-0.688;-0.875;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:22.640;0.063;-0.625;-0.938;;;;;;;;;;;;;
A2_S1;2025/05/21;21:13:22.680;-0.063;-0.625;-0.875;;;;;;;;;;;;;
