TagID;Date;Time;X;Y;Z;Activity;Depth;Temp. (?C);location-lat;location-lon;height-msl;ground-speed;satellites;hdop;signal-strength;Sensor Raw;Battery (V);Metadata
A1_S1;2025/05/21;21:10:49.000;-0.500;0.313;-0.125;Active/Dry;0.00;29.0;;;;;;;;1000;4.18;
A1_S1;2025/05/21;21:10:49.040;-0.063;0.000;0.000;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:49.080;-1.188;1.438;0.125;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:49.120;-0.188;0.313;-0.063;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:49.160;-0.188;2.063;0.000;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:49.200;0.625;1.250;0.000;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:49.240;0.313;1.188;-0.125;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:49.280;0.313;0.750;-0.063;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:49.320;0.313;0.750;-0.125;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:49.360;0.313;0.938;-0.063;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:49.400;0.313;1.000;-0.125;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:49.440;0.250;1.000;-0.063;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:49.480;0.375;0.688;-0.125;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:49.520;0.313;0.938;-0.063;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:49.560;0.313;1.063;-0.063;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:49.600;0.375;0.813;0.000;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:49.640;0.313;0.750;-0.125;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:49.680;0.375;1.000;-0.063;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:49.720;0.375;1.000;-0.125;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:49.760;0.438;0.875;-0.063;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:49.800;0.250;0.750;-0.125;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:49.840;0.313;1.063;-0.063;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:49.880;0.375;0.938;0.000;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:49.920;0.500;1.000;0.000;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:49.960;0.438;0.875;-0.063;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:50.000;0.563;0.813;0.000;Active/Dry;0.00;28.9;;;;;;;;0993;;
A1_S1;2025/05/21;21:10:50.040;0.375;0.625;0.000;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:50.080;0.313;0.938;0.000;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:50.120;0.313;1.000;0.063;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:50.160;0.375;0.875;-0.125;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:50.200;0.188;0.688;-0.188;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:50.240;0.438;0.813;0.063;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:50.280;0.375;0.813;0.125;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:50.320;0.375;1.063;-0.125;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:50.360;0.188;0.813;0.000;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:50.400;0.250;1.000;0.188;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:50.440;0.000;1.063;0.063;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:50.480;0.313;1.000;0.000;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:50.520;0.375;1.188;0.000;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:50.560;0.125;0.938;0.000;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:50.600;0.063;0.938;0.000;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:50.640;-0.063;1.000;-0.125;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:50.680;0.438;0.938;0.000;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:50.720;0.188;0.938;-0.125;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:50.760;-0.188;0.438;0.063;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:50.800;-0.375;1.125;0.125;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:50.840;-0.063;0.313;-0.125;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:50.880;-0.188;0.625;-0.438;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:50.920;-0.688;1.000;-0.938;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:50.960;-0.688;1.938;-0.938;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:51.000;-0.500;0.750;-0.438;Active/Dry;0.00;29.0;;;;;;;;0992;;
A1_S1;2025/05/21;21:10:51.040;-0.688;0.063;-0.063;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:51.080;-0.938;0.625;0.250;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:51.120;-0.500;0.688;-0.250;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:51.160;-0.375;0.438;-0.188;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:51.200;-0.563;0.563;-0.500;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:51.240;-0.688;0.750;-0.375;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:51.280;-0.688;0.750;-0.438;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:51.320;-0.563;0.750;-0.313;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:51.360;-0.563;0.688;-0.313;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:51.400;-0.500;0.688;-0.313;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:51.440;-0.563;0.688;-0.375;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:51.480;-0.625;0.750;-0.438;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:51.520;-0.563;0.688;-0.438;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:51.560;-0.625;0.688;-0.500;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:51.600;-0.625;0.688;-0.438;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:51.640;-0.438;0.563;-0.438;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:51.680;-0.438;0.625;-0.375;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:51.720;-0.563;0.688;-0.375;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:51.760;-0.563;0.688;-0.375;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:51.800;-0.750;0.813;-0.438;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:51.840;-0.563;0.625;-0.375;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:51.880;-0.438;0.688;-0.375;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:51.920;-0.688;0.375;-0.313;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:51.960;-0.688;0.813;-0.313;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:52.000;-0.563;0.813;-0.438;Active/Dry;0.00;29.0;;;;;;;;0992;;
A1_S1;2025/05/21;21:10:52.040;-0.938;0.625;-0.500;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:52.080;-0.375;0.563;-0.438;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:52.120;-0.563;0.563;-0.500;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:52.160;-0.625;0.688;-0.375;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:52.200;-0.563;0.438;-0.188;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:52.240;-0.313;0.375;-0.188;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:52.280;-0.688;0.813;-0.500;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:52.320;-0.750;0.938;-0.563;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:52.360;-0.500;0.750;-0.500;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:52.400;-0.500;0.750;-0.375;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:52.440;-0.625;0.688;-0.313;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:52.480;-0.563;0.625;-0.313;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:52.520;-0.563;0.625;-0.375;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:52.560;-0.563;0.750;-0.313;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:52.600;-0.563;0.625;-0.438;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:52.640;-0.500;0.688;-0.500;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:52.680;-0.563;0.750;-0.313;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:52.720;-0.500;0.688;-0.438;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:52.760;-0.563;0.688;-0.313;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:52.800;-0.563;0.625;-0.375;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:52.840;-0.500;0.750;-0.313;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:52.880;-0.563;0.688;-0.313;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:52.920;-0.563;0.750;-0.438;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:52.960;-0.438;0.625;-0.625;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:53.000;-0.750;0.688;-0.125;Active/Dry;0.00;29.0;;;;;;;;0993;;
A1_S1;2025/05/21;21:10:53.040;-0.438;0.750;-0.250;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:53.080;-0.500;0.750;-0.063;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:53.120;-0.625;0.813;-0.250;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:53.160;-0.563;0.750;-0.313;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:53.200;-0.563;0.625;-0.375;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:53.240;-0.688;0.563;-0.375;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:53.280;-0.750;0.688;-0.438;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:53.320;-0.563;0.188;-0.438;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:53.360;-0.313;0.375;-0.625;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:53.400;-1.375;1.125;-0.625;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:53.440;-0.813;0.688;0.188;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:53.480;-0.313;0.313;0.063;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:53.520;-0.563;0.438;0.063;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:53.560;-1.063;1.125;0.063;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:53.600;-0.438;0.438;-0.125;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:53.640;-1.313;1.000;0.000;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:53.680;-0.313;0.313;0.000;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:53.720;0.063;0.000;-0.063;;;;;;;;;;;;;
A1_S1;2025/05/21;21:10:53.760;-2.813;3.376;0.000;;;;;;;;;;;;;
